Team1,Team2,FG % differential,3 pt % differential,FT % differential,Rebound differential, Offensive Rebound differential, Assists differential, Personal foul differentials, Steals differential,Turnovers differential, Blocks differential, Points differential
Syracuse,Youngstown St.,0.0233,-0.069,-0.1308,12.0,8.0,10.0,-7.0,-5.0,1.0,1.0,4.0
Georgetown,Notre Dame,-0.2783,-0.1786,-0.2292,-9.0,10.0,-5.0,-1.0,4.0,-7.0,0.0,-21.0
Boise St.,Clemson,0.0869,0.0517,0.15,8.0,-3.0,6.0,-7.0,-2.0,4.0,2.0,13.0
Miami (FL),Coppin St.,0.1518,0.206,0.2063,16.0,3.0,10.0,2.0,1.0,1.0,5.0,30.0
Stanford,UC Davis,-0.0797,-0.0268,0.1341,15.0,13.0,3.0,1.0,3.0,-4.0,-3.0,14.0
Southern California,California,-0.0523,-0.0476,-0.0549,-1.0,2.0,0.0,-1.0,0.0,-3.0,-3.0,-5.0
Pittsburgh,VMI,0.2969,0.1786,0.119,16.0,-1.0,19.0,3.0,7.0,-7.0,4.0,45.0
NC State,Colgate,0.1111,0.022,0.4077,6.0,-3.0,-5.0,-3.0,0.0,-3.0,4.0,23.0
SMU,Prairie View,0.1761,0.2865,0.0351,26.0,8.0,11.0,-5.0,-1.0,-1.0,5.0,41.0
Boston College,Loyola Maryland,0.0029,0.2335,-0.2143,20.0,15.0,0.0,0.0,6.0,-5.0,-4.0,21.0
Florida St.,Hofstra,-0.0239,0.0128,0.0683,4.0,5.0,1.0,-5.0,12.0,-8.0,2.0,18.0
Louisville,Bellarmine,0.094,-0.0171,0.1029,14.0,6.0,0.0,-1.0,2.0,-7.0,0.0,32.0
Wake Forest,Western Caro.,0.0,0.0433,-0.067,-9.0,-1.0,3.0,-3.0,2.0,-13.0,2.0,13.0
Notre Dame,North Dakota,0.1724,-0.1569,0.175,-2.0,-7.0,2.0,-2.0,8.0,-8.0,0.0,17.0
Virginia Tech,Jacksonville,-0.106,0.0533,-0.025,0.0,3.0,-1.0,-7.0,-3.0,2.0,-6.0,-10.0
Stanford,Norfolk St.,-0.1052,-0.0772,-0.2604,8.0,12.0,6.0,-11.0,4.0,-6.0,3.0,7.0
Drake,Miami (FL),0.0552,-0.1704,-0.0049,12.0,9.0,7.0,-2.0,0.0,-3.0,0.0,11.0
Clemson,Radford,0.22,0.2879,0.1393,2.0,-6.0,10.0,-2.0,-2.0,-2.0,3.0,28.0
Texas,Syracuse,0.0094,0.0286,0.3571,5.0,0.0,-1.0,4.0,5.0,-1.0,0.0,4.0
Tennessee,Virginia,0.0931,0.06,-0.2273,9.0,7.0,2.0,-3.0,8.0,-11.0,2.0,22.0
California,Air Force,0.0287,-0.1506,0.1212,10.0,6.0,-5.0,-6.0,1.0,-1.0,0.0,9.0
Oklahoma St.,Miami (FL),0.0254,0.2045,0.0,-4.0,-2.0,1.0,4.0,3.0,-5.0,-2.0,6.0
Pittsburgh,LSU,0.0716,0.0536,0.1636,1.0,-2.0,4.0,0.0,5.0,-2.0,5.0,11.0
Florida St.,Temple,0.0662,0.1303,0.0,5.0,1.0,5.0,1.0,0.0,1.0,4.0,9.0
Louisville,Winthrop,0.1475,0.0657,0.1364,2.0,-8.0,4.0,0.0,-3.0,2.0,9.0,10.0
NC State,William & Mary,0.1177,0.09,-0.1377,2.0,0.0,5.0,-1.0,7.0,-10.0,3.0,23.0
Texas Tech,Syracuse,0.0135,0.0476,-0.0476,-9.0,-1.0,9.0,-1.0,3.0,-9.0,2.0,5.0
St. John's (NY),Virginia,0.1423,0.0795,0.1282,9.0,5.0,6.0,4.0,9.0,-10.0,2.0,26.0
Notre Dame,Elon,-0.0881,-0.0529,0.0278,-11.0,-3.0,-4.0,8.0,3.0,-4.0,-2.0,-6.0
SMU,Mississippi St.,0.0989,0.0017,-0.0617,-3.0,-10.0,-4.0,-1.0,-4.0,6.0,2.0,-5.0
Arizona,Duke,-0.03,-0.0991,0.021,-13.0,-7.0,1.0,-5.0,1.0,1.0,0.0,-14.0
Hawaii,North Carolina,-0.1326,0.0145,-0.0564,13.0,10.0,-5.0,-3.0,-7.0,8.0,0.0,-18.0
Georgia Tech,Cincinnati,-0.1602,-0.1591,-0.1167,-7.0,3.0,-8.0,-6.0,1.0,0.0,-4.0,-23.0
Wake Forest,Detroit Mercy,0.0601,0.0226,-0.0577,-17.0,-8.0,5.0,4.0,2.0,-9.0,7.0,10.0
Santa Clara,Stanford,-0.0294,-0.1741,0.3315,3.0,-3.0,-4.0,1.0,-6.0,5.0,-5.0,-2.0
VCU,Miami (FL),0.1091,0.0963,-0.1088,0.0,-4.0,2.0,5.0,-1.0,2.0,6.0,7.0
Massachusetts,Florida St.,-0.2586,-0.375,0.0825,4.0,9.0,-17.0,-4.0,-1.0,7.0,-3.0,-33.0
California,Sacramento St.,0.0407,-0.1011,0.0128,5.0,3.0,-1.0,-10.0,1.0,2.0,4.0,6.0
Pittsburgh,Wisconsin,0.0167,-0.0326,-0.049,-4.0,-4.0,-1.0,3.0,-2.0,2.0,0.0,-6.0
