Team1,Team2,FG % differential,3 pt % differential,FT % differential,Rebound differential, Offensive Rebound differential, Assists differential, Personal foul differentials, Steals differential,Turnovers differential, Blocks differential, Points differential
Miami (FL),Virginia Tech,-0.0299,0.0708,0.431,8.0,3.0,-7.0,-8.0,0.0,0.0,1.0,8.0
Clemson,Virginia,-0.0835,0.0167,0.1648,-5.0,-2.0,0.0,-6.0,0.0,-2.0,-2.0,-1.0
NC State,Georgia Tech,-0.037,-0.1171,0.0978,-5.0,2.0,4.0,-5.0,7.0,-8.0,-2.0,6.0
Pittsburgh,Notre Dame,0.0568,0.1368,-0.1551,5.0,1.0,5.0,1.0,-6.0,2.0,3.0,10.0
North Carolina,Duke,-0.0072,0.1118,-0.0982,1.0,2.0,11.0,-6.0,5.0,-6.0,0.0,9.0
Wake Forest,Syracuse,0.2572,0.3723,0.0241,13.0,-2.0,4.0,-5.0,-3.0,4.0,1.0,29.0
Louisville,Florida St.,0.0282,0.1148,0.1429,-1.0,-3.0,6.0,-11.0,-3.0,-2.0,-4.0,9.0
Virginia,Miami (FL),0.1958,0.3545,-0.0333,-1.0,-5.0,11.0,7.0,4.0,-8.0,4.0,22.0
North Carolina,Clemson,-0.0278,-0.0215,0.01,1.0,-2.0,0.0,0.0,1.0,1.0,0.0,-4.0
Georgia Tech,Wake Forest,-0.177,-0.1131,-0.2632,-11.0,-1.0,-5.0,2.0,-5.0,3.0,-3.0,-29.0
Boston College,Florida St.,-0.0307,0.0331,0.5,8.0,2.0,0.0,-1.0,-7.0,4.0,-2.0,-1.0
Syracuse,Louisville,0.0694,0.0145,-0.0667,-19.0,-12.0,5.0,-7.0,5.0,-7.0,5.0,2.0
NC State,Pittsburgh,0.0412,0.0952,-0.5,-9.0,-2.0,2.0,2.0,1.0,-4.0,-2.0,-3.0
Duke,Notre Dame,0.0944,-0.037,-0.0667,8.0,3.0,4.0,-6.0,8.0,-6.0,0.0,18.0
Syracuse,Clemson,-0.2172,-0.1242,0.041,-17.0,1.0,-6.0,3.0,9.0,-13.0,-3.0,-9.0
Duke,Boston College,0.0694,0.141,0.0192,5.0,1.0,4.0,-4.0,-2.0,-2.0,-4.0,15.0
Miami (FL),North Carolina,0.0175,-0.094,0.1026,-5.0,-2.0,-2.0,-2.0,2.0,-3.0,0.0,-3.0
Wake Forest,NC State,-0.009,0.031,0.0823,-3.0,-3.0,-3.0,-10.0,-2.0,-1.0,2.0,4.0
Notre Dame,Virginia Tech,0.0523,0.0167,0.0374,6.0,1.0,1.0,-2.0,5.0,-3.0,0.0,8.0
Louisville,Georgia Tech,0.0368,-0.1378,0.134,5.0,-1.0,3.0,-12.0,-3.0,-3.0,3.0,12.0
Florida St.,Virginia,0.0106,-0.4306,0.0379,2.0,0.0,-10.0,-5.0,-2.0,1.0,7.0,-4.0
Duke,Wake Forest,0.0814,0.0492,0.0277,4.0,-4.0,3.0,-4.0,-5.0,4.0,0.0,8.0
Virginia,Pittsburgh,0.0517,-0.1518,-0.035,-10.0,-8.0,5.0,3.0,-1.0,-3.0,4.0,-11.0
Syracuse,North Carolina,0.1496,0.0261,-0.0982,-8.0,-10.0,-8.0,-9.0,6.0,-3.0,0.0,7.0
Virginia Tech,Florida St.,-0.1259,0.0338,0.2198,12.0,7.0,-1.0,-5.0,-4.0,-2.0,-3.0,8.0
Boston College,Louisville,0.0979,0.1449,0.1377,-7.0,-7.0,7.0,2.0,-1.0,-4.0,7.0,12.0
Clemson,Miami (FL),0.0735,0.0583,0.0235,2.0,-1.0,1.0,-6.0,1.0,-4.0,0.0,17.0
Notre Dame,Georgia Tech,-0.1425,-0.141,0.2273,9.0,11.0,-4.0,-2.0,3.0,-4.0,-3.0,3.0
Virginia,Wake Forest,0.062,0.0696,-0.7091,-2.0,0.0,0.0,-2.0,2.0,-4.0,11.0,2.0
North Carolina,Virginia Tech,0.0968,0.0641,-0.0739,12.0,6.0,5.0,-1.0,-1.0,3.0,2.0,15.0
Florida St.,Duke,0.0269,-0.3393,-0.0636,-9.0,-6.0,0.0,4.0,1.0,-3.0,8.0,-9.0
Boston College,Miami (FL),-0.0548,0.0,0.1486,10.0,7.0,1.0,-4.0,2.0,-4.0,-1.0,8.0
Georgia Tech,Syracuse,0.0268,0.12,0.1275,21.0,8.0,4.0,0.0,-6.0,10.0,0.0,5.0
Pittsburgh,Louisville,0.0182,0.4005,-0.039,9.0,10.0,13.0,3.0,7.0,-9.0,-2.0,27.0
Clemson,NC State,-0.0254,-0.075,0.1417,2.0,3.0,-1.0,0.0,-6.0,4.0,-3.0,-1.0
Virginia Tech,Virginia,0.1825,0.1812,0.0504,4.0,-2.0,10.0,-10.0,0.0,-5.0,2.0,34.0
NC State,Syracuse,-0.0523,-0.1405,-0.1198,1.0,3.0,-5.0,-8.0,-2.0,0.0,2.0,-4.0
Florida St.,Boston College,0.0305,-0.0202,0.0366,-2.0,-1.0,-6.0,-9.0,7.0,-5.0,0.0,8.0
Wake Forest,Pittsburgh,0.3175,0.2273,0.2658,10.0,-8.0,9.0,-3.0,-1.0,1.0,1.0,33.0
Miami (FL),Duke,-0.1976,-0.2083,0.0714,-12.0,1.0,-8.0,-8.0,2.0,-1.0,-4.0,-29.0
Georgia Tech,Clemson,-0.2326,-0.197,0.1905,3.0,5.0,-15.0,-8.0,-4.0,4.0,-1.0,-24.0
Louisville,Notre Dame,-0.0761,-0.2092,-0.25,-5.0,-2.0,-2.0,-4.0,-5.0,4.0,2.0,-22.0
Syracuse,Notre Dame,-0.0841,-0.1339,-0.0278,-5.0,3.0,1.0,-1.0,6.0,-10.0,4.0,3.0
NC State,Boston College,-0.0191,-0.15,0.0288,8.0,6.0,-7.0,-4.0,-3.0,-6.0,1.0,11.0
Wake Forest,Duke,0.0736,0.0894,-0.0727,-8.0,-4.0,2.0,-8.0,1.0,-5.0,-2.0,4.0
Miami (FL),Georgia Tech,-0.0559,-0.0801,-0.5,-7.0,2.0,-3.0,-4.0,2.0,-7.0,1.0,-4.0
Virginia,North Carolina,-0.0441,-0.1753,-0.1228,-4.0,2.0,-6.0,-1.0,3.0,-4.0,-3.0,-10.0
Pittsburgh,Virginia Tech,0.102,0.2786,-0.098,14.0,3.0,0.0,1.0,1.0,2.0,5.0,15.0
Clemson,Florida St.,0.0708,0.0622,0.0667,3.0,-5.0,2.0,-6.0,-5.0,3.0,7.0,11.0
North Carolina,Miami (FL),0.0492,-0.1205,-0.1209,3.0,4.0,2.0,-4.0,2.0,-2.0,2.0,4.0
Clemson,Pittsburgh,0.1513,0.1867,0.0119,7.0,-5.0,6.0,0.0,-4.0,8.0,0.0,7.0
Syracuse,Virginia Tech,0.0746,0.0077,0.0,4.0,-1.0,4.0,-3.0,4.0,-3.0,2.0,13.0
Notre Dame,Wake Forest,-0.0444,-0.0543,0.0636,-5.0,-1.0,-3.0,-2.0,4.0,-6.0,-1.0,5.0
Florida St.,NC State,0.1206,-0.119,0.1357,-5.0,-6.0,4.0,3.0,1.0,-3.0,2.0,7.0
Duke,Louisville,0.1507,0.3235,0.0362,19.0,5.0,12.0,5.0,1.0,5.0,1.0,25.0
Boston College,Virginia,-0.0307,-0.1537,0.1061,-7.0,-1.0,0.0,2.0,2.0,-1.0,0.0,-4.0
