Team1,Team2,FG % differential,3 pt % differential,FT % differential,Rebound differential, Offensive Rebound differential, Assists differential, Personal foul differentials, Steals differential,Turnovers differential, Blocks differential, Points differential
West Virginia,Pittsburgh,-0.0526,-0.2711,0.0317,-1.0,-1.0,-1.0,-4.0,-2.0,3.0,0.0,-17.0
Boston College,Holy Cross,0.0771,0.0332,0.1606,11.0,9.0,6.0,-2.0,7.0,-14.0,3.0,31.0
Georgetown,Syracuse,-0.1133,-0.2622,-0.0891,-2.0,3.0,6.0,-3.0,-4.0,0.0,0.0,-12.0
Virginia Tech,Valparaiso,0.0301,0.2454,0.2083,19.0,8.0,8.0,-5.0,-4.0,1.0,-1.0,21.0
Florida St.,South Fla.,-0.0364,-0.1581,-0.2357,0.0,2.0,3.0,-4.0,0.0,2.0,0.0,-16.0
DePaul,Louisville,0.1134,0.0847,-0.0139,4.0,-4.0,5.0,-4.0,-4.0,7.0,4.0,7.0
Duke,Charlotte,0.0962,0.3556,0.1607,11.0,1.0,6.0,-5.0,3.0,0.0,-4.0,24.0
Georgia Tech,Alabama A&M,0.1527,0.1857,-0.1136,27.0,10.0,11.0,-6.0,-9.0,13.0,-2.0,21.0
Clemson,TCU,0.0918,0.0718,0.0341,5.0,-2.0,8.0,4.0,-5.0,4.0,3.0,8.0
Pittsburgh,Canisius,0.0039,0.125,-0.3333,0.0,3.0,2.0,-7.0,5.0,-7.0,0.0,11.0
Wake Forest,NJIT,0.1716,0.2143,-0.375,3.0,-3.0,5.0,-3.0,3.0,-3.0,-4.0,24.0
Marquette,Notre Dame,0.1525,0.0762,0.1231,3.0,-3.0,10.0,3.0,-5.0,-5.0,-1.0,19.0
Miami (FL),Colorado,-0.1383,0.05,0.0485,-12.0,-5.0,-17.0,-1.0,-2.0,5.0,4.0,-27.0
St. John's (NY),Boston College,-0.161,-0.1741,0.1964,-2.0,9.0,-6.0,4.0,5.0,-5.0,-3.0,-6.0
NC State,UT Martin,0.046,0.0074,0.0286,2.0,2.0,5.0,1.0,3.0,-4.0,2.0,14.0
Duke,Hofstra,0.05,0.0833,0.0571,9.0,6.0,9.0,-1.0,3.0,-4.0,-3.0,21.0
Louisville,Arkansas St.,-0.0805,-0.0667,-0.0942,-5.0,-1.0,-8.0,-7.0,-1.0,-2.0,1.0,-12.0
Miami (FL),La Salle,0.0479,-0.1,0.0,14.0,6.0,-3.0,-9.0,-3.0,2.0,2.0,7.0
Penn St.,Georgia Tech,-0.0588,0.1364,-0.0372,-22.0,-6.0,-10.0,2.0,10.0,-11.0,-2.0,-1.0
Pittsburgh,South Carolina St.,0.2193,0.1932,-0.1607,4.0,-2.0,15.0,-6.0,7.0,-7.0,2.0,36.0
Notre Dame,Georgetown,-0.0212,-0.2045,-0.1672,-3.0,3.0,-5.0,2.0,3.0,-5.0,0.0,-4.0
Memphis,Clemson,-0.059,-0.1505,0.0725,-2.0,3.0,-8.0,-6.0,6.0,-9.0,-2.0,2.0
Virginia Tech,Vermont,0.0575,0.1448,0.1836,16.0,3.0,6.0,-4.0,4.0,-2.0,1.0,22.0
Kentucky,North Carolina,-0.057,0.0145,-0.047,10.0,12.0,3.0,-3.0,0.0,-3.0,4.0,4.0
Virginia,Northeastern,-0.0555,-0.118,0.5556,-7.0,-1.0,-5.0,-7.0,5.0,-12.0,2.0,2.0
Florida St.,SMU,-0.1528,-0.1364,0.3609,-10.0,-2.0,-9.0,-2.0,4.0,-7.0,0.0,-11.0
Tennessee,NC State,0.0041,0.0,0.0925,9.0,7.0,9.0,0.0,-1.0,0.0,-2.0,9.0
Oregon,Syracuse,-0.2054,-0.2365,-0.0382,-5.0,5.0,-7.0,2.0,-2.0,0.0,1.0,-20.0
Louisville,Pepperdine,0.0813,0.3125,-0.0357,16.0,10.0,3.0,1.0,2.0,0.0,-1.0,22.0
Wake Forest,Delaware St.,0.0686,0.1305,0.1254,2.0,2.0,5.0,-9.0,5.0,-8.0,5.0,29.0
Notre Dame,The Citadel,-0.1788,-0.2083,-0.1333,1.0,9.0,-5.0,3.0,-1.0,1.0,2.0,-20.0
Memphis,Virginia,0.0714,0.1808,0.2235,0.0,-5.0,-2.0,-2.0,7.0,-6.0,0.0,23.0
Florida St.,North Florida,0.1075,0.0632,-0.0658,17.0,9.0,1.0,-5.0,1.0,0.0,0.0,16.0
Duke,Baylor,0.0592,-0.1111,0.0776,0.0,-3.0,4.0,-7.0,4.0,-5.0,-7.0,8.0
NC State,Saint Louis,0.0,0.2767,-0.2931,-5.0,4.0,3.0,-3.0,3.0,-12.0,-2.0,12.0
Pittsburgh,Purdue Fort Wayne,0.0247,-0.0923,0.2059,21.0,13.0,7.0,-4.0,0.0,0.0,2.0,14.0
Oklahoma,North Carolina,-0.0298,-0.1047,-0.1026,7.0,4.0,-3.0,2.0,-7.0,9.0,-4.0,-12.0
Wake Forest,Presbyterian,0.1325,0.1714,0.163,-4.0,-6.0,6.0,-2.0,0.0,-6.0,5.0,23.0
Virginia Tech,American,0.2511,-0.2392,0.2121,7.0,-3.0,10.0,1.0,-2.0,-2.0,5.0,22.0
Syracuse,Niagara,0.0755,-0.0048,-0.241,1.0,1.0,11.0,9.0,2.0,-5.0,5.0,12.0
Boston College,Lehigh,0.1017,0.2532,-0.1921,9.0,2.0,6.0,0.0,2.0,-1.0,3.0,16.0
Louisville,Kentucky,-0.091,-0.2447,-0.1028,-2.0,1.0,-5.0,-7.0,-3.0,0.0,-6.0,-19.0
Miami (FL),Stonehill,0.1205,0.1624,0.0794,25.0,13.0,14.0,2.0,2.0,0.0,1.0,38.0
Massachusetts,Georgia Tech,-0.1021,0.0285,-0.4361,-9.0,5.0,4.0,4.0,10.0,-10.0,-2.0,-3.0
Clemson,Queens (NC),0.254,0.193,0.0724,9.0,-6.0,12.0,-5.0,0.0,-3.0,4.0,30.0
Florida St.,Winthrop,-0.0185,-0.2708,-0.0265,-7.0,0.0,-1.0,-4.0,12.0,-11.0,7.0,6.0
Notre Dame,Marist,-0.0309,0.0417,0.3615,7.0,2.0,1.0,-3.0,-4.0,4.0,0.0,4.0
Hawaii,Georgia Tech,-0.081,-0.0633,0.0533,-18.0,-8.0,1.0,-1.0,2.0,-5.0,-2.0,-5.0
NC State,Detroit Mercy,0.0593,0.16,-0.2429,-5.0,-1.0,10.0,-6.0,5.0,-9.0,-2.0,17.0
Georgia Tech,Nevada,-0.1046,-0.0874,0.0167,-3.0,2.0,0.0,-2.0,0.0,-3.0,-4.0,-8.0
Virginia,Morgan St.,0.1297,0.0181,-0.1455,6.0,7.0,17.0,-1.0,9.0,-14.0,5.0,35.0
Miami (FL),North Florida,0.2475,0.2323,-0.2778,19.0,5.0,16.0,-1.0,6.0,-5.0,-1.0,40.0
Clemson,Radford,0.1516,0.0157,0.1429,32.0,13.0,6.0,-7.0,0.0,4.0,-2.0,35.0
North Carolina,Charleston So.,0.2283,0.0231,-0.0317,21.0,7.0,8.0,-5.0,8.0,-7.0,5.0,45.0
Notre Dame,Virginia,0.128,0.2964,0.2092,13.0,0.0,4.0,0.0,0.0,3.0,0.0,22.0
Syracuse,Pittsburgh,0.0543,-0.2235,0.3417,1.0,-5.0,4.0,2.0,7.0,-2.0,3.0,8.0
Florida St.,Lipscomb,-0.0714,-0.256,0.0444,4.0,4.0,-8.0,-4.0,2.0,-2.0,3.0,-3.0
Duke,Queens (NC),0.156,0.028,0.1076,8.0,0.0,13.0,-2.0,4.0,-10.0,9.0,37.0
Wake Forest,Virginia Tech,-0.0204,0.0559,0.1905,5.0,7.0,-3.0,-3.0,8.0,-12.0,-1.0,23.0
