Team1,Team2,FG % differential,3 pt % differential,FT % differential,Rebound differential, Offensive Rebound differential, Assists differential, Personal foul differentials, Steals differential,Turnovers differential, Blocks differential, Points differential
Miami (FL),Notre Dame,0.1772,0.2014,-0.1528,-2.0,-9.0,1.0,-2.0,0.0,0.0,-2.0,13.0
Virginia,Syracuse,0.138,0.3214,0.1158,6.0,-2.0,11.0,-1.0,2.0,-4.0,2.0,22.0
North Carolina,Florida St.,0.0181,-0.2013,0.3065,9.0,2.0,1.0,-6.0,1.0,1.0,5.0,8.0
Georgia Tech,Duke,0.0901,0.0543,0.2462,0.0,-7.0,7.0,-3.0,-7.0,6.0,2.0,4.0
Boston College,NC State,-0.0133,-0.1587,-0.3187,-4.0,2.0,-1.0,-4.0,0.0,-3.0,1.0,-6.0
Pittsburgh,Clemson,-0.0356,-0.0188,-0.2545,-7.0,-1.0,-2.0,-3.0,1.0,-2.0,3.0,-9.0
Virginia Tech,Louisville,0.0329,-0.0658,-0.0741,-1.0,-1.0,5.0,-4.0,0.0,-4.0,-2.0,7.0
Boston College,Central Conn. St.,0.0789,0.01,0.1283,-4.0,-3.0,4.0,5.0,6.0,-8.0,-1.0,14.0
Virginia,N.C. Central,0.2483,0.2521,-0.1667,10.0,-1.0,16.0,6.0,2.0,-4.0,3.0,30.0
Notre Dame,Western Mich.,0.1791,0.1818,0.0327,8.0,-4.0,3.0,-2.0,-3.0,4.0,1.0,21.0
Georgia,Georgia Tech,0.08,0.0067,0.2051,7.0,-4.0,-1.0,-4.0,-3.0,1.0,-1.0,14.0
Syracuse,Cornell,0.0265,0.1335,0.1849,3.0,0.0,-2.0,1.0,2.0,-3.0,8.0,11.0
UConn,North Carolina,0.0707,-0.0274,-0.0284,10.0,1.0,7.0,5.0,2.0,1.0,3.0,11.0
Wake Forest,Rutgers,0.0536,-0.0105,0.0096,12.0,4.0,8.0,-9.0,1.0,-4.0,1.0,19.0
NC State,UMES,0.1967,-0.0079,-0.0598,4.0,-2.0,3.0,-10.0,5.0,-9.0,2.0,32.0
Miami (FL),LIU,0.2628,0.2926,-0.0957,13.0,1.0,7.0,-5.0,-2.0,-4.0,1.0,48.0
Clemson,South Carolina,0.0858,0.1111,0.0158,4.0,-1.0,0.0,1.0,0.0,2.0,4.0,5.0
