Team1,Team2,FG % differential,3 pt % differential,FT % differential,Rebound differential, Offensive Rebound differential, Assists differential, Personal foul differentials, Steals differential,Turnovers differential, Blocks differential, Points differential
Pittsburgh,North Carolina,-0.0563,-0.1217,-0.197,-10.0,-2.0,-6.0,0.0,0.0,-1.0,1.0,-13.0
Boston College,Wake Forest,-0.1191,-0.1012,-0.2413,-1.0,7.0,-5.0,-2.0,-2.0,-2.0,-1.0,-6.0
Duke,Syracuse,0.0891,0.2206,0.0654,-1.0,-1.0,5.0,-5.0,4.0,-6.0,2.0,20.0
Virginia,Louisville,0.113,0.1446,0.0077,7.0,4.0,10.0,4.0,4.0,-5.0,2.0,24.0
Florida St.,Georgia Tech,0.0929,0.1425,0.2262,7.0,0.0,1.0,3.0,3.0,3.0,-1.0,11.0
Miami (FL),Clemson,0.0744,0.0917,-0.0667,4.0,-1.0,4.0,-4.0,2.0,-2.0,-1.0,13.0
Notre Dame,NC State,0.1164,0.192,-0.1125,-5.0,-12.0,3.0,-1.0,-2.0,9.0,0.0,-2.0
Clemson,North Carolina,-0.0546,-0.2923,0.1667,-11.0,-5.0,-8.0,-2.0,4.0,-5.0,6.0,-10.0
Louisville,Pittsburgh,0.0545,0.1232,-0.0476,-1.0,-5.0,0.0,-1.0,-5.0,7.0,1.0,-13.0
NC State,Virginia,0.0573,0.0238,0.141,1.0,0.0,0.0,-2.0,0.0,-2.0,0.0,16.0
Wake Forest,Miami (FL),-0.0198,-0.0891,-0.0952,3.0,6.0,4.0,-4.0,1.0,-2.0,5.0,4.0
Georgia Tech,Boston College,-0.0132,-0.087,-0.038,12.0,6.0,-5.0,-3.0,-1.0,6.0,-1.0,-8.0
Florida St.,Virginia Tech,-0.0312,-0.2783,-0.0293,-3.0,4.0,6.0,-5.0,6.0,-6.0,-3.0,3.0
Notre Dame,Duke,0.0339,-0.0445,-0.3095,2.0,1.0,-5.0,8.0,-2.0,3.0,1.0,-8.0
Florida St.,Wake Forest,0.0345,0.1785,-0.0095,-9.0,-4.0,4.0,-4.0,1.0,-7.0,4.0,5.0
Pittsburgh,Duke,-0.1903,-0.1067,0.1905,-16.0,-2.0,-9.0,-3.0,8.0,-4.0,-1.0,-22.0
Georgia Tech,Notre Dame,-0.0184,-0.019,-0.4762,-15.0,-3.0,9.0,4.0,5.0,-6.0,1.0,-7.0
Miami (FL),Louisville,-0.1032,-0.1113,-0.3417,3.0,9.0,-1.0,0.0,2.0,1.0,-2.0,-9.0
Virginia Tech,Clemson,0.0994,0.1955,-0.0179,7.0,-1.0,4.0,-4.0,3.0,0.0,2.0,15.0
NC State,North Carolina,-0.1144,-0.2333,0.1619,-8.0,0.0,-2.0,3.0,2.0,-3.0,1.0,-13.0
Syracuse,Boston College,-0.01,0.0099,-0.0109,-6.0,-3.0,3.0,-11.0,13.0,-14.0,0.0,10.0
Louisville,NC State,-0.0678,0.0333,-0.1224,-3.0,1.0,-6.0,-9.0,-3.0,-5.0,-1.0,-6.0
North Carolina,Syracuse,0.1154,0.0587,0.0053,23.0,12.0,8.0,-3.0,6.0,-3.0,0.0,36.0
Wake Forest,Virginia,0.2193,0.1429,0.1238,13.0,-2.0,4.0,0.0,-3.0,10.0,5.0,19.0
Notre Dame,Florida St.,0.0276,0.0604,-0.5939,-1.0,-2.0,-1.0,-1.0,-5.0,6.0,-5.0,-9.0
Clemson,Boston College,0.0339,-0.05,0.1515,15.0,5.0,-1.0,-2.0,-3.0,1.0,4.0,11.0
Duke,Georgia Tech,-0.1169,-0.0738,0.0476,-2.0,6.0,-1.0,-6.0,3.0,-10.0,-4.0,5.0
Virginia Tech,Miami (FL),0.0091,-0.057,0.0833,10.0,4.0,-1.0,6.0,-5.0,4.0,1.0,-4.0
Boston College,Notre Dame,-0.0368,-0.0111,0.1778,-16.0,-6.0,2.0,0.0,6.0,-11.0,2.0,4.0
Pittsburgh,Syracuse,-0.1179,-0.3959,-0.0559,4.0,9.0,-2.0,-2.0,-2.0,1.0,5.0,-11.0
NC State,Wake Forest,0.1085,-0.3333,-0.0281,2.0,-2.0,-4.0,-4.0,5.0,-4.0,2.0,7.0
Clemson,Georgia Tech,-0.0857,-0.2857,-0.0368,12.0,13.0,0.0,-7.0,0.0,-2.0,0.0,-3.0
Miami (FL),Florida St.,-0.0198,0.0147,-0.0254,-6.0,-5.0,-7.0,-4.0,-4.0,1.0,2.0,-9.0
Virginia,Virginia Tech,0.0741,-0.081,-0.3125,1.0,1.0,4.0,-3.0,7.0,-8.0,1.0,8.0
North Carolina,Louisville,-0.0079,0.0101,0.2885,12.0,6.0,9.0,-6.0,3.0,-3.0,3.0,16.0
Syracuse,Miami (FL),-0.0947,0.0272,0.0667,3.0,6.0,9.0,-3.0,4.0,-4.0,-1.0,3.0
Wake Forest,Louisville,0.0424,0.3325,0.0152,10.0,3.0,8.0,-2.0,-1.0,1.0,1.0,25.0
NC State,Virginia Tech,-0.0973,-0.1404,0.0119,4.0,8.0,-1.0,6.0,7.0,-2.0,3.0,-6.0
Boston College,North Carolina,-0.101,-0.1176,0.0544,-15.0,-5.0,-6.0,-6.0,1.0,-7.0,-4.0,-10.0
Florida St.,Clemson,-0.1028,-0.1895,-0.1092,-17.0,-4.0,-10.0,1.0,-1.0,-4.0,3.0,-11.0
Georgia Tech,Virginia,-0.049,-0.1449,0.1879,0.0,-1.0,-7.0,-1.0,0.0,4.0,-1.0,-9.0
Duke,Pittsburgh,-0.0595,-0.1071,0.125,-7.0,-5.0,-2.0,-4.0,1.0,1.0,-3.0,-4.0
North Carolina,Wake Forest,0.1687,0.1833,-0.0327,13.0,2.0,5.0,4.0,-1.0,2.0,4.0,21.0
Georgia Tech,Pittsburgh,-0.0871,-0.1011,-0.0119,-2.0,3.0,-4.0,2.0,-1.0,-2.0,1.0,-8.0
Syracuse,Florida St.,-0.05,-0.2815,-0.0833,3.0,1.0,-8.0,-5.0,-5.0,7.0,5.0,-16.0
Louisville,Duke,0.0012,-0.0659,-0.0606,-15.0,-8.0,-6.0,-3.0,-2.0,1.0,-2.0,-14.0
Virginia Tech,Boston College,-0.0094,0.0303,0.4444,-13.0,-8.0,2.0,1.0,1.0,-4.0,2.0,5.0
Notre Dame,Miami (FL),-0.1196,-0.0537,0.0686,0.0,5.0,-2.0,8.0,0.0,0.0,1.0,-12.0
Virginia,NC State,0.02,-0.0504,-0.2949,22.0,13.0,6.0,-8.0,-6.0,6.0,2.0,6.0
Notre Dame,Boston College,-0.0746,-0.0923,0.2143,0.0,2.0,-2.0,1.0,-1.0,1.0,1.0,-3.0
Louisville,Virginia,-0.1429,-0.1979,0.0917,3.0,3.0,-13.0,-8.0,-9.0,7.0,-3.0,-17.0
Florida St.,North Carolina,0.0217,0.069,-0.3371,-9.0,-5.0,-1.0,6.0,6.0,-3.0,2.0,-7.0
Miami (FL),Pittsburgh,0.0694,0.017,0.1875,4.0,0.0,1.0,2.0,-5.0,4.0,-1.0,4.0
Duke,Clemson,0.0284,0.1242,-0.1818,-9.0,-7.0,-6.0,-3.0,4.0,-2.0,2.0,1.0
Virginia Tech,Georgia Tech,0.1729,0.0808,0.2395,6.0,-5.0,9.0,1.0,0.0,2.0,-2.0,24.0
Syracuse,NC State,0.0882,0.0689,-0.1932,-1.0,-5.0,1.0,-10.0,6.0,-5.0,2.0,12.0
Virginia Tech,Duke,-0.1053,-0.2567,0.15,-18.0,-6.0,-4.0,-8.0,3.0,-10.0,0.0,-10.0
Georgia Tech,North Carolina,0.0462,0.1643,0.3529,-7.0,-12.0,-7.0,1.0,-4.0,3.0,8.0,1.0
Boston College,Syracuse,0.1312,0.1522,0.0882,10.0,-2.0,-1.0,-4.0,-10.0,10.0,1.0,5.0
Clemson,Louisville,0.0876,0.1273,0.0574,-19.0,-17.0,9.0,1.0,-3.0,-3.0,6.0,6.0
NC State,Miami (FL),0.1178,0.1786,0.0,-15.0,-14.0,4.0,2.0,4.0,-4.0,4.0,6.0
