Team1,Team2,FG % differential,3 pt % differential,FT % differential,Rebound differential, Offensive Rebound differential, Assists differential, Personal foul differentials, Steals differential,Turnovers differential, Blocks differential, Points differential
Chaminade,Syracuse,-0.2641,-0.1742,0.1607,-25.0,-5.0,-11.0,0.0,-3.0,3.0,-2.0,-49.0
Loyola Chicago,Boston College,-0.0068,0.2744,-0.1313,8.0,2.0,5.0,-2.0,-5.0,8.0,1.0,3.0
North Carolina,Villanova,0.0474,0.1477,-0.1932,5.0,2.0,8.0,8.0,-1.0,4.0,3.0,-2.0
Virginia Tech,Boise St.,-0.001,0.0079,0.0394,-7.0,-4.0,4.0,-1.0,3.0,-7.0,1.0,7.0
Vanderbilt,NC State,0.0179,-0.1029,-0.0619,3.0,-2.0,-6.0,-5.0,-3.0,7.0,0.0,-6.0
North Carolina,Arkansas,0.0185,0.1345,-0.0357,11.0,7.0,5.0,-3.0,-1.0,-2.0,-6.0,15.0
Wake Forest,Charleston So.,0.065,0.0844,0.1389,2.0,-2.0,0.0,-7.0,4.0,-6.0,3.0,15.0
Pittsburgh,Oregon St.,0.0731,0.1628,0.119,13.0,9.0,4.0,0.0,-2.0,-3.0,3.0,25.0
Virginia Tech,Iowa St.,-0.0118,0.1548,0.2926,5.0,-1.0,4.0,-1.0,-2.0,2.0,0.0,9.0
Duke,Southern Ind.,0.0695,-0.1508,-0.2262,5.0,5.0,-2.0,-10.0,0.0,-5.0,0.0,18.0
Clemson,Alcorn,-0.0143,0.0222,0.0397,14.0,11.0,18.0,-1.0,1.0,-2.0,-1.0,21.0
BYU,NC State,0.0979,0.0118,-0.0773,9.0,1.0,7.0,-1.0,-8.0,8.0,1.0,9.0
Louisville,New Mexico St.,-0.1369,-0.0778,0.2053,3.0,7.0,-5.0,-24.0,1.0,-3.0,0.0,6.0
Virginia Tech,Fla. Atlantic,-0.2356,-0.2914,-0.2028,-11.0,3.0,-8.0,-5.0,-4.0,-1.0,-5.0,-34.0
South Carolina,Notre Dame,0.0531,-0.0057,0.1192,-4.0,-3.0,3.0,-2.0,3.0,-4.0,0.0,12.0
Georgia Tech,Mississippi St.,0.0366,0.063,-0.0109,2.0,-2.0,3.0,1.0,-1.0,-1.0,3.0,8.0
Syracuse,LSU,0.0034,0.4329,0.1261,7.0,4.0,8.0,-6.0,0.0,-4.0,6.0,23.0
Kentucky,Miami (FL),0.1561,0.1654,-0.056,-6.0,-6.0,18.0,3.0,4.0,-7.0,4.0,22.0
Pittsburgh,Missouri,-0.1096,-0.0836,0.1636,-3.0,-2.0,-6.0,-6.0,-2.0,1.0,-1.0,-7.0
Ole Miss,NC State,0.0886,0.23,0.2667,-4.0,-8.0,1.0,-1.0,5.0,-6.0,7.0,20.0
Alabama,Clemson,-0.19,-0.2095,0.1026,0.0,8.0,0.0,-7.0,3.0,-4.0,-4.0,-8.0
Virginia,Texas A&M,0.1115,0.1861,0.25,-12.0,-11.0,7.0,-1.0,1.0,-6.0,7.0,12.0
North Carolina,Tennessee,-0.0965,0.1071,0.0296,3.0,5.0,6.0,-6.0,1.0,-3.0,-6.0,8.0
Wake Forest,Florida,0.0912,0.0417,-0.0998,1.0,-1.0,1.0,-6.0,-1.0,-2.0,-1.0,11.0
Louisville,Bellarmine,0.0517,-0.0083,-0.2201,5.0,2.0,0.0,-2.0,-6.0,2.0,2.0,5.0
Auburn,Virginia Tech,0.1126,-0.175,-0.0753,-4.0,0.0,5.0,-3.0,6.0,-13.0,5.0,17.0
Arkansas,Duke,0.1324,0.1364,-0.0441,5.0,-7.0,7.0,-3.0,-1.0,4.0,7.0,5.0
Vanderbilt,Boston College,-0.1542,-0.2,0.056,-1.0,5.0,-7.0,-2.0,-1.0,3.0,-3.0,-18.0
Florida St.,Georgia,-0.0563,0.0436,0.1624,4.0,3.0,-1.0,4.0,-2.0,0.0,1.0,-2.0
